,train loss,train acc,val loss,val acc
0,4.555758904417356,4.82318144367555,2.8929985483487446,2.8938440099488942
1,2.60158715347449,2.604036832063242,2.534648907184601,2.535708201466
2,2.258568332592646,2.259309539781631,2.411620759963989,2.412283819163121
3,2.0488209371765453,2.049693728725791,2.3522465427716575,2.3533030382521205
4,1.8956123625238737,1.8963528634443405,2.3231852769851686,2.324134595578141
5,1.7770156597097715,1.778038787181457,2.3118500192960103,2.312785340048788
6,1.6841797197858492,1.6850408522548335,2.3126088817914328,2.3133208638919394
7,1.6099591001868248,1.6108044257154204,2.316083780924479,2.31679386716974
8,1.5501332347591719,1.551220144026206,2.325133327643077,2.3257164569670765
9,1.5020627970496814,1.5028641444840807,2.3369091033935545,2.3375763109058796
10,1.4634313568472863,1.4642917152439643,2.347574750582377,2.3482414629118424
11,1.431380577882131,1.4324352410076586,2.3595664262771607,2.360363311529775
12,1.4056531205773353,1.4067950868121755,2.3714015603065492,2.372387136175512
13,1.3838575025399527,1.3848638191782403,2.382959723472595,2.3838133798429637
14,1.3657948344945907,1.367015632020127,2.393013588587443,2.3939647678530798
15,1.3513039375344913,1.3521015373480831,2.4033302028973895,2.40400776998193
16,1.3388124798734984,1.3397063716269708,2.41424693663915,2.414999427279896
17,1.3278420602281888,1.3291015369248478,2.4233757615089417,2.424137435351106
18,1.3189723705252012,1.3200256907460415,2.429791994889577,2.430426461039219
19,1.3112947995464006,1.3124312563503262,2.4378541191418965,2.438534237621785
