,train loss,train acc,val loss,val acc
0,7.462340537707011,7.463024172900396,7.352993353207906,7.353214778141663
1,7.236222273111343,7.236918179089356,7.1276101986567175,7.127745468471408
2,7.011525835593542,7.01211276829074,6.903241769472758,6.903632264183999
3,6.788251133759816,6.788753967064957,6.680864214897156,6.680995706260677
4,6.566176791985829,6.566964287868728,6.459495059649149,6.45993465668394
5,6.346111518144608,6.346808841784396,6.2403302669525145,6.240651294393483
6,6.127764087915421,6.1285414613283455,6.022917985916138,6.023259844168715
7,5.9113508800665535,5.912158723182795,5.807685891787211,5.8079798099962
8,5.697363545497258,5.698039236751377,5.5948031107584635,5.594989113303176
9,5.485584586858749,5.486325437993077,5.3845103820165,5.384585500240043
10,5.276779987414678,5.277422970479398,5.1767560561498005,5.177009379567259
11,5.070727143685023,5.071430988763661,4.972279818852742,4.972620721632074
12,4.868273357550303,4.868996136954277,4.7718432982762655,4.772085027869221
13,4.669922969738642,4.670704250257693,4.575830880800883,4.576177385599652
14,4.476834700504939,4.477630632315586,4.385525814692179,4.385856004308098
15,4.289684758583705,4.2904646939733535,4.201695585250855,4.20199415925938
16,4.109657597541809,4.110328403223507,4.025266659259796,4.025487163124352
17,3.9372176816066107,3.9378721352670008,3.8568840702374776,3.8571269251026186
18,3.773300622900327,3.774042976272459,3.697494439284007,3.6976941617925476
19,3.6187782446543375,3.61940215638529,3.5478591839472453,3.5479704017561593
20,3.4743154019117357,3.4748805766970645,3.4084364732106525,3.4085328586392207
21,3.340403766433398,3.3409232364997545,3.279531498750051,3.279833368416382
22,3.2175130675236385,3.218006998222434,3.162221908569336,3.1624685612305914
23,3.105974242091179,3.1063889098936683,3.056364087263743,3.0564726492880814
24,3.00571002860864,3.0061726349882485,2.961605886618296,2.961778782194495
25,2.9167616417010627,2.917122871782477,2.877959402402242,2.8781543367696845
26,2.8387248486280443,2.8390145515511738,2.8049635767936705,2.805145285188841
27,2.7707284867763518,2.7711804436945955,2.7417210896809894,2.742074187091997
28,2.712636190652847,2.7129249704431335,2.6879122575124104,2.6882078117866715
29,2.663002020120621,2.6633593895231753,2.642344295978546,2.6425776255002096
30,2.6212731202443442,2.621673962046429,2.6040159185727436,2.604298976667382
31,2.5865338494380317,2.5868314511959043,2.5721911152203876,2.572485464012204
32,2.5577192842960357,2.5579705628173803,2.5455885529518127,2.546090879814946
33,2.5337662349144616,2.5341883037056903,2.5241404016812643,2.524494820816909
34,2.5144909799098967,2.514740502485852,2.5066678007443746,2.5068716941920184
35,2.4984540472428005,2.49887869157223,2.4920050621032717,2.4924741609870593
36,2.485511490702629,2.486010917209444,2.480481485525767,2.4808163243493735
37,2.4750618527332944,2.4755926518373705,2.470713218053182,2.471401067396323
38,2.466744447747866,2.467197079329189,2.463365570704142,2.4637735324610865
39,2.4599132508039476,2.4604299609271107,2.457201377550761,2.457648126388554
40,2.4544732083876926,2.4550009503638752,2.4523648341496784,2.4527349360172694
41,2.4501523226499557,2.45064635048619,2.4481712261835735,2.4487625997447102
42,2.4465982993443807,2.447151432262599,2.445103661219279,2.4455899260451437
43,2.443793193499247,2.4443599526848585,2.442541944980621,2.4430571578175466
44,2.441489776968956,2.44212588158174,2.4403374870618184,2.4410197465608743
45,2.439896591504415,2.4403410229690605,2.4385910511016844,2.439389223257988
46,2.438375554482142,2.438917766390892,2.4373771786689757,2.43807785261961
47,2.4371693203846614,2.437778761420237,2.4364412784576417,2.4370347500107155
48,2.4362062672773996,2.436872911124283,2.435490918159485,2.436191803076579
49,2.4354406108458835,2.4361472646463485,2.4349356929461163,2.4355192697986454
50,2.434966669480006,2.4355697680367383,2.4343689481417337,2.434985102541241
51,2.4346246580282846,2.4351101343450843,2.4339007337888083,2.43455553619416
52,2.4341026852528254,2.434744104380737,2.4336068550745646,2.4342049425845778
